품번,pcts,count
9240639500,5.1550895587592835,354
9210138000,4.659967962720256,320
924213C000,3.567787971457696,245
9240239000,3.2037279743701763,220
924022D500,3.1746031746031744,218
924023B500,2.985291976117664,205
9240239600,2.8833551769331587,198
924022D000,2.8251055773991554,194
924023E000,2.8251055773991554,194
924023D000,2.7086063783311487,186
9240207500,2.2862967817096256,157
9210234001,2.271734381826125,156
924023K000,2.2426095820591234,154
9210138001,1.9804863841561091,136
924023B300,1.9367991845056065,133
924023B100,1.8202999854376,125
924043V000,1.7911751856705984,123
924021Y000,1.529051987767584,105
924023F000,1.5144895878840834,104
9210234500,1.325178389398573,91
9210238001,1.310615989515072,90
924023F500,1.2523663899810689,86
9240227500,1.2378039900975681,85
921023C500,1.2232415902140672,84
921023D000,1.1795543905635648,81
924023B501,1.1795543905635648,81
921023L000,1.1213047910295617,77
9240226000,1.09217999126256,75
924022B000,1.0630551914955586,73
924202K000,1.0048055919615553,69
924022C000,1.0048055919615553,69
924023A000,0.9319935925440512,64
924024A500,0.9319935925440512,64
924022H500,0.9319935925440512,64
9240234000,0.9174311926605505,63
9240225000,0.8591815931265472,59
924022G007,0.8446191932430465,58
924023E500,0.8446191932430465,58
924023D100,0.8009319935925441,55
924023M060,0.8009319935925441,55
924022T100,0.7718071938255424,53
9210134500,0.7718071938255424,53
9240238001,0.72811999417504,50
921023N100,0.6989951944080385,48
921023E0XX,0.6989951944080385,48
924013K000,0.6844327945245376,47
9240234503,0.655307994757536,45
924022H000,0.655307994757536,45
921023L100,0.6261831949905344,43
9210238000,0.6116207951070336,42
921023R600,0.5970583952235329,41
9240206000,0.5970583952235329,41
924022G500,0.582495995340032,40
924023K5,0.5533711955730304,38
921023B010,0.5242463958060288,36
9210226000,0.5242463958060288,36
9210239700,0.509683995922528,35
921023C000,0.4951215960390273,34
921024F000,0.4805591961555264,33
924022G005,0.4659967962720256,32
9210229000,0.436871996505024,30
924012H000,0.436871996505024,30
924012H500,0.436871996505024,30
924023R000,0.42230959662152323,29
924023M000,0.42230959662152323,29
8760539062,0.40774719673802245,28
9240217000,0.40774719673802245,28
9240225700,0.40774719673802245,28
924013V000,0.40774719673802245,28
9210207500,0.40774719673802245,28
921023T200,0.39318479685452157,27
921023K000,0.39318479685452157,27
924023L002,0.39318479685452157,27
921023E500,0.39318479685452157,27
8760639012,0.39318479685452157,27
9214013E0XX,0.39318479685452157,27
924023S300,0.39318479685452157,27
924023K400,0.39318479685452157,27
921023F500,0.37862239697102085,26
924023N000,0.37862239697102085,26
9240126500,0.36405999708752,25
924022G600,0.34949759720401924,24
921022T301,0.34949759720401924,24
68102909AF,0.34949759720401924,24
9240226500,0.33493519732051846,23
9240225200,0.33493519732051846,23
8762007088,0.33493519732051846,23
8762017100CA,0.33493519732051846,23
924020J000,0.32037279743701763,22
5380251700,0.32037279743701763,22
9210222300,0.32037279743701763,22
924023A500,0.32037279743701763,22
921023A000,0.32037279743701763,22
921023V000,0.32037279743701763,22
924021F001,0.3058103975535168,21
921023R200,0.3058103975535168,21
9240126000,0.291247997670016,20
9210225000,0.291247997670016,20
260603788R,0.291247997670016,20
9240202000,0.291247997670016,20
